"","ID","var001","var002","var003","var007","var008","var009","var010","var016","var021","var022","var023","Diet","L_Vis1","L_Vis2","L_Hid1","L_Hid2","L_Hid3","L_Hid4","L_Hid5","L_Hid6","L_Vis3","L_Vis4","P_Time","P_Cross","P_TargetQ","SS_Vis"
"1","s01",1.982539165,2.635160461,1.6864654,2.227857338,3.539003503,2.925757253,2.417165669,-0.014552318,-1.17618474,0.606253785,-1.419405103,"Control",31.3,17.1,60.3,60.3,30.6,59.7,57.5,60.3,10.21021,24.024023,60,0,0.19352685,14.45
"2","s02",0.468407752,0.177159003,0.391552845,-0.889045321,-0.915662562,-0.077574307,-1.302249777,-0.646175374,-1.066030561,0.134297931,-2.23762009,"Control",50.6,9.5,50.5,60.3,50,27.8,16,12.2,9.409409,9.609609,11,2,0.286952783,15.93
"3","s03",1.165658634,1.315746507,1.011332738,-1.017871543,-0.188669989,-0.232411766,-1.170394281,0.018872221,-0.764276005,0.899725921,-0.562417651,"Control",40.6,38,60.3,60.3,29,35.8,24.2,21.6,60.26026,15.815815,54,1,0.470470483,14.95
"4","s04",1.515070767,1.321509835,1.239064356,0.007048917,0.965373427,1.074597187,0.008921119,-1.304753382,-1.225992333,-0.208166634,-2.176099767,"Control",51.9,9.9,60.3,60.3,43.8,60.3,60.3,42,12.212212,7.607607,49,2,0.4237571,16.54
"5","s05",0.958559898,0.848964586,0.832424813,-0.103733472,-0.05153792,-0.081096971,-0.482421564,0.754477252,-0.104734312,0.378204697,-0.128946612,"Control",40.1,14.4,60.3,60.3,60.3,57.1,15.4,60.3,16.416416,12.412412,10,4,0.340340317,13.92
"6","s06",0.627972697,0.545608751,0.509398449,-0.029437549,-0.064408844,-0.637794481,-0.511712629,0.394723444,0.757801026,1.216479389,0.537460697,"Control",31.7,7.1,60.3,60.3,60.3,60.1,52,22.2,7.407407,6.806806,39,1,0.537203867,19.67
"7","s07",1.42177129,1.629992327,1.296210079,-0.32285449,1.529013702,1.552368822,0.720037537,0.915235173,0.043660211,1.034647007,0.761840968,"Control",54.1,12.2,60.3,22.4,60.3,60.3,51.5,25.8,17.417417,7.007006,60,0,0.230229517,12.56
"8","s08",1.625216249,2.005268003,1.115236233,-0.39334095,1.37144095,0.226907991,0.465592138,-1.679100959,-2.142370446,0.179778792,-1.362096051,"Control",48.3,14.7,60.3,60.3,60.3,60.3,60.3,17.8,20.22022,9.209209,14,2,0.23690355,14.85
"9","s09",1.608657323,1.916909828,1.43180842,0.361021797,1.053436806,0.606846496,0.136820759,-0.500986706,-0.976386265,0.328011786,-1.253426836,"Control",42.2,11.8,60.1,41.4,44,42,58.1,23.8,14.214214,9.409409,46,1,0.276943617,13.91
"10","s10",0.751656703,1.032837922,0.88733234,-1.010733973,0.88332839,0.691756877,-0.698734726,-0.626766093,2.346966809,2.486642262,2.433593947,"Control",60.3,10.7,60.3,60.3,60.3,60.3,60.1,60.3,13.413413,8.008007,58,1,0.260260267,16.68
